Species,Crop,      Plant genotype,meanPD,SE,min,max,Number of entries
Citrus reticulata,Mandarin, tangerine,cv. “Fairchild”,1.00,NA,1.00,1.00,1
Citrus sinensis,Orange,cv. “Early Gold”,0.15,0.05,0.09,0.20,2
Citrus sinensis,Orange,var. “Pera ro”,0.06,NA,0.06,0.06,1
Citrus sinensis,Orange,cv. “Rhod-e-Red”,0.21,0.07,0.14,0.28,2
Citrus sinensis,Orange,cv. “Trovita”,0.30,0.02,0.28,0.31,2
Cocos nucifera,Coconut,cv. “Pacific Tall 1”,0.36,NA,0.36,0.36,1
Coffea arabica,Arabic Coffee,cv. “Maragogipe”,0.21,NA,0.21,0.21,1
Coffea arabica,Arabic Coffee,cv. “Mundo Novo”,0.37,NA,0.37,0.37,1
Coriandrum sativum,Coriander,cv. “Waltahi”,0.14,NA,0.14,0.14,1
Cucumis melo,Melon,var. agrestis,1.00,0.00,1.00,1.00,2
Cucumis melo,Melon,cv. “HM-43”,1.00,0.00,1.00,1.00,2
Cucumis sativus,Cucumber,var. Ashley,0.52,0.10,0.42,0.62,2
Cucumis sativus,Cucumber,cv. “Swam Ageti”,0.81,NA,0.81,0.81,1
Cucurbita maxima,Pumpkin,var. Golden Delicious,1.00,NA,1.00,1.00,1
Cucurbita moschata,Gourd,var. Jacarezinho,1.00,NA,1.00,1.00,1
Cucurbita moschata,Gourd,cv. “Meni Brasileira”,1.00,NA,1.00,1.00,1
Cucurbita pepo,Squash,cv. “Chamatkar”,1.00,NA,1.00,1.00,1
Cucurbita pepo,Squash,cv. “Chandra”,1.00,NA,1.00,1.00,1
Cucurbita pepo,Squash,cv. “Gold Queen”,1.00,NA,1.00,1.00,1
Cucurbita pepo,Squash,cv. “Parikrama”,1.00,NA,1.00,1.00,1
Cucurbita pepo,Courgette,var. Tosca,0.31,0.06,0.21,0.4,2
Cuminum cyminum,Cumin,var. GC-4,0.29,NA,0.29,0.29,1
Cydonia oblonga,Quince,cv. “Agersi”,1.00,NA,1.00,1.00,2
Cydonia oblonga,Quince,cv. “Bereczki”,1.00,NA,1.00,1.00,2
Cydonia oblonga,Quince,cv. “Bereczki botermo”,1.00,NA,1.00,1.00,2
Cydonia oblonga,Quince,cv. “Champion”,1.00,NA,1.00,1.00,1
Cydonia oblonga,Quince,cv. “Konstantinápolyi”,1.00,NA,1.00,1.00,2
Cydonia oblonga,Quince,cv. “Mezotúri”,1.00,NA,1.00,1.00,2
Diospyros kaki,Persimmon,cv. “Fuyu”,0.42,0.05,0.21,0.56,5
Diospyros kaki,Persimmon,cv. “Giant Fuyu”,1.00,NA,1.00,1.00,1
Diospyros kaki,Persimmon,cv. “O”Gosho”,1.00,NA,1.00,1.00,1
Diospyros kaki,Persimmon,cv. “Tabebashi”,0.39,NA,0.39,0.39,1
Durio zibethinus,Durian,cv. “Monthong”,1.00,NA,1.00,1.00,1
Elettaria cardamomum,Cardamom,cv. “Malabar”,0.97,NA,0.97,0.97,1
Elettaria cardamomum,Cardamom,cv. “Njellani”,1.00,NA,1.00,1.00,1
Eriobotrya japonica,Loquat,cv. “Akko13”,0.75,0.02,0.73,0.76,2
Fagopyrum esculentum,Buckwheat, cv. “Manor”,0.49,NA,0.49,0.49,1
Ficus carica,Fig,var. Nabout,0.32,NA,0.32,0.32,1
